PID,X,Y,Vx,Vy
0.0,268.42016828370424,368.8134722469569,-0.11136241179808515,-0.05689345519741629
1.0,438.6445428051688,456.043420172227,-0.14804181874102182,-0.062343199861613255
2.0,447.2681799524743,458.07876573489887,-0.061104083420067526,0.0053007863626995
3.0,218.04261338560804,426.3668608756563,4.967612631277868,0.7023925845530916
4.0,224.2310950657978,416.9378444261742,4.194796430265795,0.7899009361547862
5.0,225.945679098386,26.1732894180925,-1.1195165073026967,-2.2198874876047334
6.0,438.9642498329839,456.13279020246216,-0.004058062169196547,-0.0017247407916975294
7.0,382.5936032240872,340.40236010122794,-1.2244860958411672,-2.3512368634069434
8.0,301.28500962975426,379.81594755934077,-1.0055506804647774,-0.5530666642736533
9.0,444.0542889905175,458.3206223953965,-0.0001328886291980772,-7.341164522242183e-05
10.0,-50.852827213524264,-46.12546479762326,-1.177628278284498,-1.2010948004656061
