X,Y,Y_pred
0.0,0.4923824847737367,0.5
0.025,0.4363028047544556,0.4412484512922977
0.05,0.3824998214025576,0.38940039153570244
0.07500000000000001,0.3389851650855903,0.34364463939548606
0.1,0.2999845857305898,0.3032653298563167
0.125,0.26470255344543786,0.26763071425949514
0.15000000000000002,0.23317170980343785,0.23618327637050732
0.17500000000000002,0.20534829503971458,0.20843100983925417
0.2,0.1809866345025722,0.18393972058572117
0.225,0.1597065101458101,0.16232623367917487
0.25,0.1410836569871411,0.14325239843009505
0.275,0.12471532802784865,0.12641979790237323
0.30000000000000004,0.1102552945035542,0.1115650800742149
0.325,0.09742539644113998,0.09845583760209703
0.35000000000000003,0.08601223236361191,0.08688697172522254
0.375,0.07585585935592257,0.07667748342246423
0.4,0.06683540396391217,0.06766764161830635
0.42500000000000004,0.05885491188929257,0.05971648413335981
0.45,0.05183152631025088,0.052699612280932166
0.47500000000000003,0.0456870523473877,0.046507244605331746
0.5,0.04034310863961802,0.0410424993119494
