0,1,2,3,4,5,6,7,8,9,10,output_location,output_function,omega_values
1.0,0.981149893750297,0.9253102280124382,0.8345861700506366,0.7123980361288607,0.5633523448608672,0.39306815047958027,0.20796520329846468,0.015021923760514998,-0.17848768549535618,-0.3652682710795253,0.8415445415046483,0.6973488240863109,1.2380454832592975
1.0,0.938285175827314,0.7607581423545869,0.48933099889515475,0.15750590231760386,-0.19376009239532918,-0.5211103470405402,-0.7841401348014023,-0.9503837814702348,-0.9993218921990512,-0.924914053189907,0.3402415473424909,0.30801648721714636,2.248273349829587
1.0,0.9726214141428462,0.8919848304984601,0.7625056803239123,0.591273875678733,0.38766558589282946,0.16282982505246454,-0.070922036478509,-0.30079040787970024,-0.5141883472666061,-0.6994307870287385,1.3765617779091746,0.5926282805683859,1.4931261531763624
1.0,0.9764166358225677,0.9067788934221214,0.794371357277709,0.6444959231116938,0.4642217248144515,0.2620517065264592,0.04752156658180468,-0.16925001018481145,-0.37803861769698244,-0.5689963804205913,0.2833335773573515,0.2761140756512392,1.385336332468485
1.0,0.9803943019813852,0.9223459747151352,0.8281311741509857,0.7014441941464259,0.5472526080471753,0.37160248320138023,0.18138130621835788,-0.015952084996542267,-0.21265997268902367,-0.40102916597112936,0.37123362549714295,0.35778695335635274,1.2626948043436605
1.0,0.975823881316497,0.9044644946951858,0.7893722261363437,0.6361120443284354,0.4520944219611471,0.2462170227908939,0.028434479690858147,-0.1907229341205973,-0.400658467350122,-0.5912212672632327,0.39252330464455076,0.3729891623855044,1.4027080111808845
1.0,0.9101372582051038,0.6566996575462077,0.2852363933615684,-0.1374911195573869,-0.5355079745245891,-0.8372803998041692,-0.9885722003286904,-0.9621923840857127,-0.7628820763065152,-0.426462418441144,0.06326739596613226,0.06295570080788365,2.719519278965695
1.0,0.9659863708887073,0.8662593374854703,0.7076030564433836,0.5008104795615321,0.25994913886597126,0.0014041709760365306,-0.25723631881547393,-0.49837772712269646,-0.7056158650945586,-0.8648528904056799,1.319934984893459,0.4862641264595128,1.6651767944985214
1.0,0.9848012051164102,0.9396668271974677,0.8659688425475495,0.7659474922707115,0.6426431843406285,0.49980407252628517,0.3417721215513222,0.17335112183158327,-0.0003393341752722374,-0.17401947524107383,0.37123362549714295,0.360791320915976,1.1113511409439603
1.0,0.9710059913596166,0.8857052705125438,0.7490442571333232,0.5689476524273965,0.35585890142065824,0.12213459828882409,-0.11867204803916193,-0.35259713759470884,-0.566075818242265,-0.7467288845593645,0.5263319817183216,0.4707902783624898,1.5367534746118159
