X,T
  1.59001590E-03,  2.23020721E+02
  1.60001600E-03,  2.22576724E+02
  1.61001610E-03,  2.22132727E+02
  1.62001620E-03,  2.21690158E+02
  1.63001630E-03,  2.21247588E+02
  1.64001640E-03,  2.20806459E+02
  1.65001650E-03,  2.20365330E+02
  1.66001660E-03,  2.19925655E+02
  1.67001670E-03,  2.19485979E+02
  1.68001680E-03,  2.19047769E+02
  1.69001690E-03,  2.18609560E+02
  1.70001700E-03,  2.18172829E+02
  1.71001710E-03,  2.17736098E+02
  1.72001720E-03,  2.17300858E+02
  1.73001730E-03,  2.16865618E+02
  1.74001740E-03,  2.16431881E+02
  1.75001750E-03,  2.15998145E+02
  1.76001760E-03,  2.15565923E+02
  1.77001770E-03,  2.15133702E+02
  1.78001780E-03,  2.14703008E+02
  1.79001790E-03,  2.14272314E+02
  1.80001800E-03,  2.13843160E+02
  1.81001810E-03,  2.13414005E+02
  1.82001820E-03,  2.12986401E+02
  1.83001830E-03,  2.12558797E+02
  1.84001840E-03,  2.12132755E+02
  1.85001850E-03,  2.11706713E+02
  1.86001860E-03,  2.11282245E+02
  1.87001870E-03,  2.10857776E+02
  1.88001880E-03,  2.10434892E+02
  1.89001890E-03,  2.10012008E+02
  1.90001900E-03,  2.09590720E+02
  1.91001910E-03,  2.09169431E+02
  1.92001920E-03,  2.08749749E+02
  1.93001930E-03,  2.08330067E+02
  1.94001940E-03,  2.07912002E+02
  1.95001950E-03,  2.07493936E+02
  1.96001960E-03,  2.07077498E+02
  1.97001970E-03,  2.06661060E+02
  1.98001980E-03,  2.06246259E+02
  1.99001990E-03,  2.05831459E+02
  2.00002000E-03,  2.05418306E+02
  2.01002010E-03,  2.05005153E+02
  2.02002020E-03,  2.04593657E+02
  2.03002030E-03,  2.04182162E+02
  2.04002040E-03,  2.03772334E+02
  2.05002050E-03,  2.03362506E+02
  2.06002060E-03,  2.02954354E+02
  2.07002070E-03,  2.02546203E+02
  2.08002080E-03,  2.02139738E+02
  2.09002090E-03,  2.01733273E+02
  2.10002100E-03,  2.01328503E+02
  2.11002110E-03,  2.00923733E+02
  2.12002120E-03,  2.00520668E+02
  2.13002130E-03,  2.00117603E+02
  2.14002140E-03,  1.99716251E+02
  2.15002150E-03,  1.99314900E+02
  2.16002160E-03,  1.98915270E+02
  2.17002170E-03,  1.98515640E+02
  2.18002180E-03,  1.98117741E+02
  2.19002190E-03,  1.97719842E+02
  2.20002200E-03,  1.97323682E+02
  2.21002210E-03,  1.96927522E+02
  2.22002220E-03,  1.96533109E+02
  2.23002230E-03,  1.96138697E+02
  2.24002240E-03,  1.95746039E+02
  2.25002250E-03,  1.95353381E+02
  2.26002260E-03,  1.94962486E+02
  2.27002270E-03,  1.94571592E+02
  2.28002280E-03,  1.94182467E+02
  2.29002290E-03,  1.93793343E+02
  2.30002300E-03,  1.93405997E+02
  2.31002310E-03,  1.93018651E+02
  2.32002320E-03,  1.92633090E+02
  2.33002330E-03,  1.92247530E+02
  2.34002340E-03,  1.91863762E+02
  2.35002350E-03,  1.91479994E+02
  2.36002360E-03,  1.91098025E+02
  2.37002370E-03,  1.90716056E+02
  2.38002380E-03,  1.90335894E+02
  2.39002390E-03,  1.89955731E+02
  2.40002400E-03,  1.89577382E+02
  2.41002410E-03,  1.89199032E+02
  2.42002420E-03,  1.88822502E+02
  2.43002430E-03,  1.88445971E+02
  2.44002440E-03,  1.88071267E+02
  2.45002450E-03,  1.87696562E+02
  2.46002460E-03,  1.87323688E+02
  2.47002470E-03,  1.86950815E+02
