eta,f,f_dash
0.0,0.0,0.0
0.028,0.00013016647581815723,0.00929760400364004
0.056,0.000520665666066455,0.01859518824011515
0.084,0.0011714963847183528,0.027892701879974773
0.112,0.0020826555481347573,0.03719006020940973
0.14,0.0032541372263574543,0.0464871446347805
0.168,0.0046859316945832095,0.05578380269122042
0.196,0.006378024484951648,0.06507984805667098
0.224,0.008330395438817986,0.07437506057270499
0.252,0.010543017759719643,0.08366918627349114
0.28,0.013015857067283598,0.0929619374242507
0.308,0.015748870452359117,0.10225299257055236
0.336,0.018742005533698185,0.11154199659978647
0.364,0.021995199516543197,0.12082856081615234
0.392,0.025508378253519075,0.13011226303048448
0.42,0.0292814553082635,0.1393926476662328
0.448,0.03331433102226609,0.14866922588290055
0.47600000000000003,0.03760689158542317,0.15794147571822834
0.504,0.04215900811085115,0.16720884225039762
0.532,0.04697053571453644,0.17647073778150724
0.56,0.05204131260043491,0.18572654204355565
0.588,0.05737115915166816,0.19497560242813783
0.616,0.06295987702849713,0.20421723424103894
0.644,0.06880724827378622,0.21345072098287704
0.672,0.07491303442670334,0.2226753146569152
0.7000000000000001,0.0812769756454318,0.23189023610512682
0.728,0.08789878983969966,0.24109467537355986
0.756,0.09477817181396138,0.2502877921080028
0.784,0.10191479242209342,0.2594687159809093
0.812,0.10930829773449212,0.26863654715049096
0.84,0.11695830821848649,0.277790356752832
0.868,0.1248644179330021,0.2869291874278271
0.896,0.13302619373843313,0.2960520538796805
0.924,0.1414431745227005,0.305157943472643
0.9520000000000001,0.15011487044449104,0.31424581686259634
0.98,0.1590407621946892,0.32331460866502215
1.008,0.1682203002770271,0.33236322815982133
1.036,0.1776529043089894,0.3413905600333685
1.064,0.18733796234402122,0.35039546515810815
1.092,0.19727483021609293,0.35937678140991286
1.12,0.20746283090768095,0.3683333245233357
1.1480000000000001,0.21790125394222706,0.37726388898480007
1.176,0.22858935480213755,0.38616724896367344
1.204,0.23952635437338138,0.39504215928107805
1.232,0.25071143841774,0.403887356416188
1.26,0.26214375707375503,0.41270155954966486
1.288,0.2738224243874065,0.42148347164377603
1.316,0.2857465178735417,0.43023178055863626
1.344,0.29791507810905676,0.4389451602039038
1.372,0.3103271083588131,0.4476222717251539
1.4000000000000001,0.32298157423524787,0.4562617647240421
