A=0,A=5,A=10,A=20,Y
0.9999992370605469,1.0000015258789063,0.9999969482421875,0.9999969482421875,0.0
0.8900009155273441,0.8016685485839844,0.7595451354980469,0.7231712341308595,0.1111111111111111
0.7800003051757811,0.6543464660644532,0.6100852966308595,0.5765495300292969,0.2222222222222222
0.6699996948242188,0.5316680908203124,0.4914810180664062,0.4628181457519531,0.3333333333333333
0.5599990844726559,0.4242950439453126,0.39006118774414056,0.3665149688720702,0.4444444444444444
0.4449996948242187,0.323431396484375,0.2961189270019532,0.2778083801269532,0.5555555555555556
0.3349990844726563,0.2350967407226563,0.21460723876953125,0.20111236572265628,0.6666666666666666
0.22500076293945315,0.15300369262695312,0.13933944702148435,0.1304645538330078,0.7777777777777777
0.11500015258789065,0.0759906768798828,0.06907157897949219,0.06462554931640627,0.8888888888888888
7.62939453125e-07,-3.814697265625e-07,-3.814697265625e-07,-3.814697265625e-07,1.0
