X,Y,Y_pred
0.0,-0.009631586214128447,0.0
0.005,-0.008427151923095176,2.5e-05
0.01,-0.007247173751204068,0.0001
0.015,-0.006088636021594351,0.000225
0.02,-0.004948623561780509,0.0004
0.025,-0.0038243180103335016,0.0006250000000000001
0.03,-0.0027129942379811108,0.0009
0.035,-0.0016120168824314276,0.0012250000000000002
0.04,-0.0005188369957539161,0.0016
0.045,0.0005690111972286449,0.002025
0.05,0.0016539134313784817,0.0025000000000000005
0.055,0.002738178426580776,0.003025
0.06,0.003824040808226879,0.0036
0.065,0.004913663925197239,0.0042250000000000005
0.07,0.006009142567790526,0.004900000000000001
0.075,0.007112505588077644,0.005625
0.08,0.008225718425179817,0.0064
0.085,0.009350685537959421,0.007225000000000001
0.09,0.01048925274757604,0.0081
0.095,0.011643209492321588,0.009025
0.1,0.012814290997077718,0.010000000000000002
0.105,0.014004180359672627,0.011024999999999998
0.11,0.01521451055633073,0.0121
0.115,0.016446866368318092,0.013225
0.12,0.01770278623179598,0.0144
0.125,0.018983764012789024,0.015625
0.13,0.02029125070908075,0.016900000000000002
0.135,0.02162665608073296,0.018225
0.14,0.02299135021083017,0.019600000000000003
0.145,0.02438666499793082,0.021025
0.15,0.025813895581603664,0.0225
0.155,0.02727430170231585,0.024025
0.16,0.028769108996830387,0.0256
0.165,0.03029951023015698,0.027225000000000003
0.17,0.0318666664649969,0.028900000000000006
0.17500000000000002,0.03347170816950471,0.030625000000000006
0.18,0.03511573626409313,0.0324
0.185,0.03679982310788688,0.034225
0.19,0.038525013425338976,0.0361
0.195,0.04029232517340766,0.038025
0.2,0.04210275034959952,0.04000000000000001
0.20500000000000002,0.04395725574107833,0.04202500000000001
0.21,0.045856783614943115,0.04409999999999999
0.215,0.04780225234969213,0.046224999999999995
0.22,0.049794557007788544,0.0484
0.225,0.051834569849167976,0.050625
0.23,0.05392314078544367,0.0529
0.23500000000000001,0.05606109777449237,0.05522500000000001
0.24,0.058249247155036016,0.0576
0.245,0.06048837392077662,0.060024999999999995
0.25,0.0627792419335909,0.0625
0.255,0.06512259407525342,0.065025
0.26,0.06751915233712699,0.06760000000000001
0.265,0.06996961784724746,0.07022500000000001
0.27,0.0724746708342286,0.0729
0.275,0.07503497052743163,0.07562500000000001
0.28,0.07765115499287929,0.07840000000000001
0.28500000000000003,0.08032384090444893,0.08122500000000002
0.29,0.08305362324996159,0.0841
0.295,0.08584107497188295,0.08702499999999999
0.3,0.08868674654248479,0.09
0.305,0.09159116547347326,0.093025
0.31,0.09455483576027829,0.0961
0.315,0.0975782372614221,0.09922500000000001
0.32,0.10066182501364368,0.1024
0.325,0.10380602848374143,0.10562500000000001
0.33,0.10701125075843865,0.10890000000000001
0.335,0.11027786767393753,0.11222500000000002
0.34,0.11360622688724109,0.11560000000000002
0.34500000000000003,0.11699664689177283,0.11902500000000002
0.35000000000000003,0.12044941598031332,0.12250000000000003
0.355,0.12396479115880064,0.126025
0.36,0.1275429970151084,0.1296
0.365,0.1311842245475149,0.13322499999999998
0.37,0.1348886299582117,0.1369
0.375,0.13865633341784833,0.140625
0.38,0.14248741780780108,0.1444
0.385,0.14638192744753276,0.148225
0.39,0.15033986681511674,0.1521
0.395,0.15436119926968658,0.15602500000000002
0.4,0.15844584578525012,0.16000000000000003
0.405,0.16259368370595964,0.16402500000000003
0.41000000000000003,0.16680454553353616,0.16810000000000003
0.41500000000000004,0.1710782177581017,0.17222500000000002
0.42,0.17541443974415427,0.17639999999999997
0.425,0.179812902683822,0.18062499999999998
0.43,0.18427324862981484,0.18489999999999998
0.435,0.18879506962067738,0.189225
0.44,0.1933779069109673,0.1936
0.445,0.198021250318876,0.198025
0.45,0.20272453770351448,0.2025
0.455,0.2074871545836196,0.20702500000000001
0.46,0.21230843390877885,0.2116
0.465,0.2171876559934038,0.21622500000000003
0.47000000000000003,0.22212404862261656,0.22090000000000004
0.47500000000000003,0.2271167873379381,0.22562500000000002
0.48,0.23216499590918574,0.2304
0.485,0.23726774699730496,0.235225
0.49,0.24242406301100158,0.24009999999999998
0.495,0.24763291715800587,0.245025
0.5,0.25289323468962105,0.25
