PID,X,Y,Vx,Vy
0.0,4.293251513142874e-05,-6.105418749645385e-06,6.0796719890582245e-06,-7.801735728086732e-06
1.0,5.3396066986280924e-05,-9.11258228806719e-05,1.8046198887508382e-06,6.683016558844714e-06
2.0,0.8214142717142895,-0.46503326154445945,-0.03194735306081777,0.01810894870234911
3.0,4.1452292730713674e-05,1.0278759341044897e-05,-7.952448861038283e-06,1.4723780715364701e-05
4.0,-5.4545891194945356e-05,-8.660766071309237e-05,6.6958812196975734e-06,8.583327727023307e-06
5.0,7.323510072067953e-05,-7.216290640853375e-05,-1.046210229791509e-05,1.3853366633927073e-05
6.0,-9.199813970816849e-05,-2.6777470640187532e-05,2.1969142433611888e-05,4.868424126808186e-06
7.0,0.8546820664724771,-0.3381408574234644,0.01261294252070036,-0.004990409965439906
8.0,5.9588247933559e-05,-2.103441275301459e-05,-1.3946776918886172e-05,4.175971921065976e-06
9.0,5.815011917378439e-05,-4.3006535527415166e-08,-6.414603279730336e-06,5.550112381072466e-06
10.0,0.9126983442350453,-0.5339008208720538,0.001814418151005824,-0.0010509319461442929
