eta,f,g,h
0.0,0.0,0.0,1.714434677866732
0.05,0.0020815917474611744,0.08326369844236318,1.6154950688107357
0.1,0.008201919759675252,0.16154950688107358,1.5165554597547393
0.15000000000000002,0.018113635062364672,0.23491924441783713,1.4191911821645677
0.2,0.031573327025820865,0.30346862509753036,1.3240259431298962
0.25,0.04834308263035947,0.36732183873082674,1.231579383542868
0.30000000000000004,0.06819178556629259,0.42662656345181715,1.1422757158353707
0.35000000000000003,0.09089617676279341,0.4815494103143638,1.0564523021581984
0.4,0.1162416977911283,0.532271793667637,0.9743680542495381
0.45,0.14402313814195064,0.5789862157393176,0.8962115601729792
0.5,0.17404510669352033,0.6218929496849349,0.822108864728307
0.55,0.20612234682189204,0.6611971022121483,0.7521308494792733
0.6000000000000001,0.2400799136031538,0.6971060346328622,0.6863001749579378
0.65,0.27575323046323696,0.7298271197079421,0.624597761750959
0.7000000000000001,0.31298804147802034,0.7595658108079582,0.5669687989774208
0.75,0.3516402743449281,0.7865239996056842,0.5133282783092008
0.8,0.3915758278610755,0.8108986386388782,0.46356605937433515
0.8500000000000001,0.4326702965714705,0.8328806055431177,0.4175514783489076
0.9,0.4748086441087512,0.852653786473769,0.3751375160163084
0.9500000000000001,0.5178848356446024,0.8703943571447486,0.3361645447821493
1.0,0.5618014388203854,0.8862702409519839,0.3004636762949031
1.05,0.6064692015260231,0.9004407247742389,0.26785973263556806
1.1,0.6518066139551101,0.9130562142155407,0.23817386468322876
1.1500000000000001,0.6977394614821469,0.9242581112425617,0.2112258413940371
1.2000000000000002,0.7442003740850895,0.9341787983549444,0.18683603348216837
1.25,0.7911283772723999,0.9429417145907786,0.1648271144736646
1.3,0.838468448767222,0.9506615098023109,0.14502550140680692
1.35,0.8861710845504187,0.9574442647314593,0.12726255664503805
1.4000000000000001,0.9341918772669874,0.9633877654668147,0.11137557140168952
1.4500000000000002,0.9824911094546533,0.9685818218716282,0.09720855068568679
1.5,1.0310333635569888,0.9731086205353834,0.08461281848738067
1.55,1.0797871502340102,0.9770431037203663,0.07344746114598677
1.6,1.128724556078658,0.9804533666499821,0.06357962597995481
1.6500000000000001,1.1778209114857243,0.9834010663183618,0.05488469141819219
1.7000000000000002,1.2270544790985427,0.9859418357918013,0.04724632403918294
1.75,1.2764061629760317,0.9881256987222801,0.0405564371006395
1.8,1.3258592383764047,0.9899974795018652,0.03471506431798166
1.85,1.3753991018419882,0.9915972051540782,0.02963016182009226
1.9000000000000001,1.4250130410900292,0.9929604956838745,0.02521735037103734
1.9500000000000002,1.474690024065046,0.994118940191182,0.02139960909461447
2.0,1.5244205063870278,0.9951004565933359,0.018106931074738375
2.0500000000000003,1.574196256334485,0.9959296332986558,0.015275950330633226
2.1,1.6240101964297866,0.9966280516263992,0.01284954878600253
2.15,1.6738562606442111,0.9972145881772561,0.010776450971330398
2.2,1.7237292662094652,0.9977056967235323,0.009010813325378564
2.25,1.7736247990089304,0.9981156695097939,0.007511814103783321
2.3000000000000003,1.8235391115234094,0.9984568781339106,0.006243249067500178
2.35,1.8734690323205996,0.9987399944165439,0.005173137320146903
2.4000000000000004,1.9234118861028888,0.9989741918659253,0.004273340898509614
2.45,1.9733654233624558,0.9991673285063949,0.0035192010018780806
2.5,2.023327758734252,0.9993261119661131,0.0028891930791463682
2.5500000000000003,2.073297317184586,0.9994562478143095,0.0023646023824230866
2.6,2.1232727872242005,0.9995625722043554,0.0019292210456922643
2.6500000000000004,2.17325308038854,0.9996491699188788,0.0015690672586621268
2.7,2.2232372962831493,0.9997194789302216,0.0012721266798843
2.75,2.2732246925477346,0.9997763825868672,0.0010281158687974745
2.8000000000000003,2.323214659147478,0.9998222905171014,0.0008282672118054002
2.85,2.373206696453913,0.9998592093080477,0.0006651345697805677
2.9000000000000004,2.4232003966294897,0.9998888039740794,0.0005324186798760788
2.95,2.473195427879332,0.9999124511760353,0.00042481119891912833
3.0,2.5231915211802955,0.9999312850939713,0.00033785617412740443
3.0500000000000003,2.573188459141009,0.9999462367934481,0.000267827664458542
3.1,2.623186066686946,0.9999580678604172,0.00021162220731230086
3.1500000000000004,2.6731842033017035,0.9999673990141793,0.00016666482544280825
