PID,X,Y,Vx,Vy
0.0,2.856219822579275,0.4633377117246013,2.8533889005787005e-05,6.544807174575509e-06
1.0,2.8560224550090383,0.46325230376288834,4.412513861374021e-05,1.001355343502855e-05
2.0,2.8562605220446575,0.463318240017946,1.2381566108761169e-05,2.1841534869226288e-06
3.0,2.856154791134648,0.46328113697353734,2.8075030063637633e-05,9.836668392335862e-06
4.0,2.856153712574339,0.4632892343736268,1.9353545920911097e-05,8.054464633669214e-06
5.0,2.8561191930740564,0.46328372013732816,5.888892351874809e-05,1.1859968094683671e-05
6.0,0.28754718185312245,0.9961865163060083,-0.05634007245525588,0.011691596245272131
7.0,2.8560280425010336,0.4632138755867674,7.058654789781981e-05,2.8749748258270972e-05
8.0,2.856135865023084,0.46327350274891693,1.614443717066691e-05,2.7939744008243385e-06
9.0,2.856089518650267,0.4632736957203264,3.0301077423252193e-05,1.120324268067145e-05
10.0,1.2979947460384018,1.7865915606001221,0.012872880099705608,-0.010906398672293018
