PID,X,Y,Vx,Vy
0.0,3.519530793160467,-0.08803880299052805,-0.0011090961081026674,0.030014374260678572
1.0,3.508101006704599,0.09129746340400166,-0.0026226634609371833,0.06655804697464497
2.0,3.5844369854153304,-1.8480402185820244,-7.695715448365465e-06,-8.958699961058266e-06
3.0,3.5844511322368215,-1.8480885447249655,-3.0625317283767524e-06,-7.911666740301027e-07
4.0,3.584470865988628,-1.8481018461502146,-4.9728476379319674e-06,-1.1806165779064999e-05
5.0,3.584434222445086,-1.8480755241192903,-4.407243574843589e-06,-4.907678513905583e-06
6.0,3.584469035000408,-1.8480613370507686,-7.863383668273606e-06,-7.670161443920305e-06
7.0,0.008267958749504423,-2.2840035920538084,-0.08986636641957182,-0.010952528819804432
8.0,3.584427220614766,-1.8481033634277928,-3.798751159387116e-09,-4.126173796070205e-06
9.0,3.5844037163550246,-1.848163920019167,-6.37203557719884e-06,3.8833844993493475e-06
10.0,3.584454050630356,-1.848081464641998,-7.913837885673552e-06,3.860160399127346e-06
