X,T,T_a
0.00000,300.00000,300.00000
0.01000,306.79470,306.95000
0.02000,313.56955,313.80000
0.03000,320.30537,320.55000
0.04000,326.98420,327.20000
0.05000,333.58984,333.75000
0.06000,340.10833,340.20000
0.07000,346.52819,346.55000
0.08000,352.84063,352.80000
0.09000,359.03959,358.95000
0.10000,365.12159,365.00000
0.11000,371.08553,370.95000
0.12000,376.93231,376.80000
0.13000,382.66446,382.55000
0.14000,388.28559,388.20000
0.15000,393.79999,393.75000
0.16000,399.21209,399.20000
0.17000,404.52607,404.55000
0.18000,409.74548,409.80000
0.19000,414.87302,414.95000
0.20000,419.91033,420.00000
0.21000,424.85797,424.95000
0.22000,429.71542,429.80000
0.23000,434.48127,434.55000
0.24000,439.15336,439.20000
0.25000,443.72908,443.75000
0.26000,448.20563,448.20000
0.27000,452.58030,452.55000
0.28000,456.85069,456.80000
0.29000,461.01497,460.95000
0.30000,465.07198,465.00000
0.31000,469.02133,468.95000
0.32000,472.86339,472.80000
0.33000,476.59924,476.55000
0.34000,480.23051,480.20000
0.35000,483.75923,483.75000
0.36000,487.18760,487.20000
0.37000,490.51780,490.55000
0.38000,493.75175,493.80000
0.39000,496.89098,496.95000
0.40000,499.93645,500.00000
0.41000,502.88848,502.95000
0.42000,505.74674,505.80000
0.43000,508.51032,508.55000
0.44000,511.17778,511.20000
0.45000,513.74732,513.75000
0.46000,516.21695,516.20000
0.47000,518.58471,518.55000
0.48000,520.84883,520.80000
0.49000,523.00790,522.95000
0.50000,525.06102,525.00000
0.51000,527.00790,526.95000
0.52000,528.84883,528.80000
0.53000,530.58471,530.55000
0.54000,532.21695,532.20000
0.55000,533.74731,533.75000
0.56000,535.17778,535.20000
0.57000,536.51032,536.55000
0.58000,537.74674,537.80000
0.59000,538.88847,538.95000
0.60000,539.93645,540.00000
0.61000,540.89098,540.95000
0.62000,541.75175,541.80000
0.63000,542.51779,542.55000
0.64000,543.18760,543.20000
0.65000,543.75923,543.75000
0.66000,544.23051,544.20000
0.67000,544.59924,544.55000
0.68000,544.86339,544.80000
0.69000,545.02132,544.95000
0.70000,545.07197,545.00000
0.71000,545.01496,544.95000
0.72000,544.85068,544.80000
0.73000,544.58029,544.55000
0.74000,544.20563,544.20000
0.75000,543.72907,543.75000
0.76000,543.15335,543.20000
0.77000,542.48126,542.55000
0.78000,541.71541,541.80000
0.79000,540.85796,540.95000
0.80000,539.91033,540.00000
0.81000,538.87301,538.95000
0.82000,537.74547,537.80000
0.83000,536.52606,536.55000
0.84000,535.21208,535.20000
0.85000,533.79998,533.75000
0.86000,532.28558,532.20000
0.87000,530.66445,530.55000
0.88000,528.93230,528.80000
0.89000,527.08552,526.95000
0.90000,525.12158,525.00000
0.91000,523.03957,522.95000
0.92000,520.84062,520.80000
0.93000,518.52817,518.55000
0.94000,516.10832,516.20000
0.95000,513.58983,513.75000
0.96000,510.98419,511.20000
0.97000,508.30536,508.55000
0.98000,505.56954,505.80000
0.99000,502.79468,502.95000
1.00000,499.99999,500.00000
