X,Y,Z,u,v,p,rho,T,Mach
    0.0000000000,    0.0000880000,    0.0000000000,   34.0268554688,         0.00000,    101599.13595,         1.22850,       288.16000,         0.00000
    0.0000000000,    0.0000900000,    0.0000000000,   34.0268554688,         0.00000,    101596.87342,         1.22847,       288.16000,         0.00000
    0.0000000000,    0.0000920000,    0.0000000000,   34.0268554688,         0.00000,    101594.69286,         1.22844,       288.16000,         0.00000
    0.0000000000,    0.0000940000,    0.0000000000,   34.0268554688,         0.00000,    101592.59314,         1.22842,       288.16000,         0.00000
    0.0000000000,    0.0000960000,    0.0000000000,   34.0268554688,         0.00000,    101590.57312,         1.22839,       288.16000,         0.00000
    0.0000000000,    0.0000980000,    0.0000000000,   34.0268554688,         0.00000,    101588.63162,         1.22837,       288.16000,         0.00000
    0.0000000000,    0.0001000000,    0.0000000000,   34.0268554688,         0.00000,    101586.76738,         1.22835,       288.16000,         0.00000
    0.0000000000,    0.0001020000,    0.0000000000,   34.0268554688,         0.00000,    101584.97911,         1.22833,       288.16000,         0.00000
    0.0000000000,    0.0001040000,    0.0000000000,   34.0268554688,         0.00000,    101583.26539,         1.22831,       288.16000,         0.00000
    0.0000000000,    0.0001060000,    0.0000000000,   34.0268554688,         0.00000,    101581.62473,         1.22829,       288.16000,         0.00000
    0.0000000000,    0.0001080000,    0.0000000000,   34.0268554688,         0.00000,    101580.05554,         1.22827,       288.16000,         0.00000
    0.0000000000,    0.0001100000,    0.0000000000,   34.0268554688,         0.00000,    101578.55613,         1.22825,       288.16000,         0.00000
    0.0000000000,    0.0001120000,    0.0000000000,   34.0268554688,         0.00000,    101577.12475,         1.22823,       288.16000,         0.00000
    0.0000000000,    0.0001140000,    0.0000000000,   34.0268554688,         0.00000,    101575.75952,         1.22822,       288.16000,         0.00000
    0.0000000000,    0.0001160000,    0.0000000000,   34.0268554688,         0.00000,    101574.45853,         1.22820,       288.16000,         0.00000
    0.0000000000,    0.0001180000,    0.0000000000,   34.0268554688,         0.00000,    101573.21980,         1.22818,       288.16000,         0.00000
    0.0000000000,    0.0001200000,    0.0000000000,   34.0268554688,         0.00000,    101572.04129,         1.22817,       288.16000,         0.00000
    0.0000000000,    0.0001220000,    0.0000000000,   34.0268554688,         0.00000,    101570.92095,         1.22816,       288.16000,         0.00000
    0.0000000000,    0.0001240000,    0.0000000000,   34.0268554688,         0.00000,    101569.85669,         1.22814,       288.16000,         0.00000
    0.0000000000,    0.0001260000,    0.0000000000,   34.0268554688,         0.00000,    101568.84641,         1.22813,       288.16000,         0.00000
    0.0000000000,    0.0001280000,    0.0000000000,   34.0268554688,         0.00000,    101567.88805,         1.22812,       288.16000,         0.00000
    0.0000000000,    0.0001300000,    0.0000000000,   34.0268554688,         0.00000,    101566.97951,         1.22811,       288.16000,         0.00000
    0.0000000000,    0.0001320000,    0.0000000000,   34.0268554688,         0.00000,    101566.11875,         1.22810,       288.16000,         0.00000
    0.0000000000,    0.0001340000,    0.0000000000,   34.0268554688,         0.00000,    101565.30374,         1.22809,       288.16000,         0.00000
    0.0000000000,    0.0001360000,    0.0000000000,   34.0268554688,         0.00000,    101564.53250,         1.22808,       288.16000,         0.00000
    0.0000000000,    0.0001380000,    0.0000000000,   34.0268554688,         0.00000,    101563.80308,         1.22807,       288.16000,         0.00000
    0.0000000000,    0.0001400000,    0.0000000000,   34.0268554688,         0.00000,    101563.11357,         1.22806,       288.16000,         0.00000
    0.0000000000,    0.0001420000,    0.0000000000,   34.0268554688,         0.00000,    101562.46210,         1.22805,       288.16000,         0.00000
    0.0000000000,    0.0001440000,    0.0000000000,   34.0268554688,         0.00000,    101561.84688,         1.22805,       288.16000,         0.00000
    0.0000000000,    0.0001460000,    0.0000000000,   34.0268554688,         0.00000,    101561.26615,         1.22804,       288.16000,         0.00000
    0.0000000000,    0.0001480000,    0.0000000000,   34.0268554688,         0.00000,    101560.71821,         1.22803,       288.16000,         0.00000
    0.0000000000,    0.0001500000,    0.0000000000,   34.0268554688,         0.00000,    101560.20142,         1.22803,       288.16000,         0.00000
    0.0000000000,    0.0001520000,    0.0000000000,   34.0268554688,         0.00000,    101559.71422,         1.22802,       288.16000,         0.00000
    0.0000000000,    0.0001540000,    0.0000000000,   34.0268554688,         0.00000,    101559.25511,         1.22802,       288.16000,         0.00000
    0.0000000000,    0.0001560000,    0.0000000000,   34.0268554688,         0.00000,    101558.82267,         1.22801,       288.16000,         0.00000
    0.0000000000,    0.0001580000,    0.0000000000,   34.0268554688,         0.00000,    101558.41558,         1.22801,       288.16000,         0.00000
    0.0000000000,    0.0001600000,    0.0000000000,   34.0268554688,         0.00000,    101558.03258,         1.22800,       288.16000,         0.00000
    0.0000000000,    0.0001620000,    0.0000000000,   34.0268554688,         0.00000,    101557.67254,         1.22800,       288.16000,         0.00000
    0.0000000000,    0.0001640000,    0.0000000000,   34.0268554688,         0.00000,    101557.33441,         1.22799,       288.16000,         0.00000
    0.0000000000,    0.0001660000,    0.0000000000,   34.0268554688,         0.00000,    101557.01726,         1.22799,       288.16000,         0.00000
    0.0000000000,    0.0001680000,    0.0000000000,   34.0268554688,         0.00000,    101556.72026,         1.22799,       288.16000,         0.00000
    0.0000000000,    0.0001700000,    0.0000000000,   34.0268554688,         0.00000,    101556.44269,         1.22798,       288.16000,         0.00000
    0.0000000000,    0.0001720000,    0.0000000000,   34.0268554688,         0.00000,    101556.18395,         1.22798,       288.16000,         0.00000
    0.0000000000,    0.0001740000,    0.0000000000,   34.0268554688,         0.00000,    101555.94353,         1.22798,       288.16000,         0.00000
    0.0000000000,    0.0001760000,    0.0000000000,   34.0268554688,         0.00000,    101555.72103,         1.22797,       288.16000,         0.00000
    0.0000000000,    0.0001780000,    0.0000000000,   34.0268554688,         0.00000,    101555.51615,         1.22797,       288.16000,         0.00000
    0.0000000000,    0.0001800000,    0.0000000000,   34.0268554688,         0.00000,    101555.32866,         1.22797,       288.16000,         0.00000
    0.0000000000,    0.0001820000,    0.0000000000,   34.0268554688,         0.00000,    101555.15843,         1.22797,       288.16000,         0.00000
    0.0000000000,    0.0001840000,    0.0000000000,   34.0268554688,         0.00000,    101555.00537,         1.22796,       288.16000,         0.00000
    0.0000000000,    0.0001860000,    0.0000000000,   34.0268554688,         0.00000,    101554.86946,         1.22796,       288.16000,         0.00000
