X,T,Ta,T_err
0.0,0.0,0.0,0.0
0.05,0.0023750000000000047,0.0023750000000000004,4.336808689942018e-18
0.1,0.009000000000000006,0.009000000000000001,5.204170427930421e-18
0.15000000000000002,0.01912500000000001,0.019125000000000003,6.938893903907228e-18
0.2,0.032000000000000015,0.03200000000000001,6.938893903907228e-18
0.25,0.046875000000000014,0.046875,1.3877787807814457e-17
0.30000000000000004,0.06300000000000001,0.06300000000000001,0.0
0.35000000000000003,0.07962500000000003,0.07962500000000002,1.3877787807814457e-17
0.4,0.09600000000000006,0.09600000000000002,4.163336342344337e-17
0.45,0.11137500000000009,0.111375,8.326672684688674e-17
0.5,0.12500000000000008,0.125,8.326672684688674e-17
0.55,0.13612500000000008,0.136125,8.326672684688674e-17
0.6000000000000001,0.14400000000000007,0.144,8.326672684688674e-17
0.65,0.14787500000000006,0.14787500000000003,2.7755575615628914e-17
0.7000000000000001,0.14700000000000005,0.14700000000000002,2.7755575615628914e-17
0.75,0.14062500000000006,0.140625,5.551115123125783e-17
0.8,0.12800000000000006,0.128,5.551115123125783e-17
0.8500000000000001,0.10837500000000003,0.108375,2.7755575615628914e-17
0.9,0.08100000000000004,0.08099999999999996,8.326672684688674e-17
0.9500000000000001,0.04512500000000002,0.04512499999999986,1.5959455978986625e-16
1.0,0.0,0.0,0.0
