X,Y,Z,U,V
0.02,0.4,0.0,1.2111670974333693e-06,1.1899283036558474e-05
0.02,0.4199999999999999,0.0,9.755238250864534e-07,1.079043977676532e-05
0.02,0.44,0.0,7.724100265131168e-07,9.774785119972943e-06
0.02,0.46,0.0,5.982073099272179e-07,8.845477331285838e-06
0.02,0.4799999999999999,0.0,4.496192440543872e-07,7.996092721077182e-06
0.02,0.5,0.0,3.236521447055708e-07,7.220605517300394e-06
0.02,0.52,0.0,2.1759545142556945e-07,6.513368639191941e-06
0.02,0.54,0.0,1.2900213466256488e-07,5.869095279030152e-06
0.02,0.56,0.0,5.5669446755815735e-08,5.28284121307931e-06
0.02,0.5799999999999998,0.0,-4.379762669292493e-09,4.749987776204324e-06
0.02,0.5999999999999999,0.0,-5.2915014473003936e-08,4.266225446741273e-06
0.02,0.62,0.0,-9.151534899391712e-08,3.827537998979078e-06
0.02,0.64,0.0,-1.2158559192867553e-07,3.430187190018817e-06
0.02,0.66,0.0,-1.4437170092403506e-07,3.070697955847211e-06
0.02,0.68,0.0,-1.6097517785961594e-07,2.7458440982361046e-06
0.02,0.7,0.0,-1.7236654771269526e-07,2.4526344496325277e-06
0.02,0.7199999999999999,0.0,-1.793979168556851e-07,2.1882995076228266e-06
0.02,0.7399999999999999,0.0,-1.8281463258588562e-07,1.950278533940648e-06
0.02,0.76,0.0,-1.8326607232289546e-07,1.73620711544908e-06
0.02,0.78,0.0,-1.8131559575101747e-07,1.5439051861735432e-06
0.02,0.8,0.0,-1.7744969662222045e-07,1.3713655104034991e-06
0.02,0.82,0.0,-1.7208639326530106e-07,1.2167426272258438e-06
0.02,0.8399999999999999,0.0,-1.655828982953524e-07,1.0783422567028153e-06
0.02,0.8599999999999999,0.0,-1.5824260875990982e-07,9.546111673590953e-07
0.02,0.88,0.0,-1.5032145813184574e-07,8.441275037845369e-07
0.02,0.9,0.0,-1.4203367127381413e-07,7.455915720714439e-07
0.02,0.92,0.0,-1.335569628430939e-07,6.578170795599499e-07
0.02,0.94,0.0,-1.2503721865147266e-07,5.797228240253112e-07
0.02,0.96,0.0,-1.1659269830237335e-07,5.103248260609421e-07
0.02,0.98,0.0,-1.0831779604727213e-07,4.487288970372888e-07
0.02,1.0,0.0,-1.0028639527848281e-07,3.941236336872953e-07
0.02,1.02,0.0,-9.255485044237224e-08,3.4577382911522626e-07
0.02,1.04,0.0,-8.516462844774467e-08,3.030142888711401e-07
0.02,1.06,0.0,-7.814463988590665e-08,2.652440396963029e-07
0.02,1.08,0.0,-7.151328859558846e-08,2.3192091763780394e-07
0.02,1.1,0.0,-6.528026631793841e-08,2.0255652146122425e-07
0.02,1.12,0.0,-5.944811741191745e-08,1.7671151666190822e-07
0.02,1.14,0.0,-5.4013596853628376e-08,1.5399127488804806e-07
0.02,1.16,0.0,-4.896884303716757e-08,1.3404183323942136e-07
0.02,1.18,0.0,-4.430238524004582e-08,1.1654615768867301e-07
0.02,1.2,0.0,-4.000000402173653e-08,1.0122069478016621e-07
0.02,1.22,0.0,-3.604546129633051e-08,8.781219578579319e-08
0.02,1.24,0.0,-3.242111536486187e-08,7.609479762785863e-08
0.02,1.26,0.0,-2.910843481342648e-08,6.586734510570905e-08
0.02,1.28,0.0,-2.6088423882238225e-08,5.695093927426165e-08
0.02,1.3,0.0,-2.3341970689616435e-08,4.918669720802265e-08
0.02,1.32,0.0,-2.0850128553896105e-08,4.243370883271458e-08
0.02,1.34,0.0,-1.8594339594850063e-08,3.6567177007748286e-08
0.02,1.36,0.0,-1.6556608813100038e-08,3.1476727586412536e-08
0.02,1.38,0.0,-1.4719635939219895e-08,2.7064876757357534e-08
0.02,1.4,0.0,-1.306691151131604e-08,2.3245643571909414e-08
0.02,1.42,0.0,-1.1582782877902344e-08,1.9943296178907216e-08
0.02,1.44,0.0,-1.0252495128622384e-08,1.7091220914784398e-08
0.02,1.46,0.0,-9.062211325320053e-09,1.4630904024991093e-08
0.02,1.48,0.0,-7.999015836451164e-09,1.2511016417802352e-08
0.02,1.5,0.0,-7.050904065093633e-09,1.0686592468079882e-08
0.02,1.52,0.0,-6.206761401030956e-09,9.118294492369132e-09
0.02,1.54,0.0,-5.4563338167399484e-09,7.771755104242768e-09
0.02,1.56,0.0,-4.790192161843426e-09,6.6169902271151525e-09
0.02,1.58,0.0,-4.1996918870122715e-09,5.627876088534347e-09
0.02,1.6,0.0,-3.6769296428552853e-09,4.781684043445038e-09
0.02,1.62,0.0,-3.214697948595678e-09,4.058667572859809e-09
0.02,1.64,0.0,-2.8064389060360727e-09,3.4416962779832243e-09
0.02,1.66,0.0,-2.4461977433671875e-09,2.9159321377231795e-09
0.02,1.68,0.0,-2.1285768078705622e-09,2.468543719676557e-09
0.02,1.7,0.0,-1.8486904837823558e-09,2.0884544313900214e-09
0.02,1.72,0.0,-1.6021213889943476e-09,1.7661212705442767e-09
0.02,1.74,0.0,-1.3848780995326424e-09,1.493340880500055e-09
0.02,1.76,0.0,-1.193354561725689e-09,1.263080042385266e-09
0.02,1.78,0.0,-1.02429127668879e-09,1.0693280377705835e-09
0.02,1.8,0.0,-8.747382784295478e-10,9.069685982907916e-10
0.02,1.82,0.0,-7.420198739091294e-10,7.716694217488983e-10
0.02,1.84,0.0,-6.237010693367603e-10,6.597874798091399e-10
0.02,1.86,0.0,-5.175555705476753e-10,5.682885719350606e-10
0.02,1.88,0.0,-4.2153521538952696e-10,4.946797954082543e-10
0.02,1.9,0.0,-3.337406716357137e-10,4.3695380376345206e-10
0.02,1.92,0.0,-2.5239321421453607e-10,3.935439175103907e-10
0.02,1.94,0.0,-1.7580738077025647e-10,3.63289328321398e-10
0.02,1.96,0.0,-1.0236467713051062e-10,3.4540755394605254e-10
0.02,1.98,0.0,-3.06215543599842e-11,3.3854897145417684e-10
0.02,2.0,0.0,0.0,0.0
0.04,0.0,0.0,0.1000000014901161,0.0
0.04,0.02,0.0,0.0035828579600690087,5.984356713711206e-05
0.04,0.04,0.0,8.280158961019065e-05,5.7954658312801245e-05
0.04,0.06,0.0,1.688277746553042e-05,5.3291999441999696e-05
0.04,0.08,0.0,1.445704589205e-05,4.8988375825161776e-05
0.04,0.1,0.0,1.290738331793246e-05,4.5042897491273486e-05
0.04,0.12,0.0,1.1477098330009024e-05,4.1404334229326736e-05
0.04,0.14,0.0,1.0163697560015236e-05,3.8040600501696046e-05
0.04,0.16,0.0,8.96608690451239e-06,3.492812029403753e-05
0.04,0.1799999999999999,0.0,7.880076883791977e-06,3.2047548694054446e-05
0.04,0.2,0.0,6.8997641316715845e-06,2.9382058040830277e-05
0.04,0.22,0.0,6.018374149145207e-06,2.691654760827201e-05
0.04,0.2399999999999999,0.0,5.228770715592541e-06,2.4637227335656737e-05
0.04,0.26,0.0,4.523769778261766e-06,2.2531372203185968e-05
0.04,0.28,0.0,3.896334433573289e-06,2.058716317655969e-05
0.04,0.2999999999999999,0.0,3.339695168685037e-06,1.879357622449913e-05
0.04,0.32,0.0,2.847421846242899e-06,1.714030012162297e-05
0.04,0.34,0.0,2.4134638913184537e-06,1.56176725974509e-05
0.04,0.3599999999999999,0.0,2.0321692332553934e-06,1.4216628798072671e-05
0.04,0.38,0.0,1.6982889484305469e-06,1.2928658372576971e-05
0.04,0.4,0.0,1.4069722765561524e-06,1.174576881907442e-05
0.04,0.4199999999999999,0.0,1.1537552101695707e-06,1.0660453509390727e-05
0.04,0.44,0.0,9.34544879661384e-07,9.665663297519737e-06
0.04,0.46,0.0,7.456012944448259e-07,8.754780930346357e-06
0.04,0.4799999999999999,0.0,5.835175448957293e-07,7.921597688716928e-06
0.04,0.5,0.0,4.45199250757804e-07,7.1602918317718795e-06
0.04,0.52,0.0,3.2784381572286345e-07,6.46540852060718e-06
0.04,0.54,0.0,2.2891988596807061e-07,5.831840972793377e-06
0.04,0.56,0.0,1.4614729327161442e-07,5.254812655791768e-06
0.04,0.5799999999999998,0.0,7.747767784016477e-08,4.729860370461393e-06
0.04,0.5999999999999999,0.0,2.1075923148445417e-08,4.252818109325208e-06
0.04,0.62,0.0,-2.4697511375584183e-08,3.819801600526467e-06
0.04,0.64,0.0,-6.130330852196048e-08,3.4271934691650498e-06
0.04,0.66,0.0,-9.003903679057616e-08,3.0716289641614394e-06
0.04,0.68,0.0,-1.1205391292505705e-07,2.7499822118324613e-06
