pointId,X,Y,Z,Ux,Uy,Uz,p
88,0,0,0.8,0.00029208,0,0,3.77437e-07
99,0,0,0.9,0.00029208,0,0,4.21101e-07
110,0,0,1,0.00029208,0,0,4.52558e-07
80,0,0.3,0.7,0.00029208,0,0,3.63032e-07
