A=0,A=5,A=10,A=20,Y
0.9999992370605469,0.9999992370605469,1.0000015258789063,1.0000015258789063,0.0
0.8900009155273441,0.8649200439453125,0.849365234375,0.8319931030273438,0.1111111111111111
0.7800003051757811,0.7523422241210938,0.7381538391113281,0.7240432739257812,0.2222222222222222
0.6699996948242188,0.6499336242675782,0.6405769348144531,0.6316986083984376,0.3333333333333333
0.5599990844726559,0.5523818969726562,0.5489761352539062,0.5458061218261718,0.4444444444444444
0.4449996948242187,0.4519943237304687,0.45511856079101565,0.4580253601074219,0.5555555555555556
0.3349990844726563,0.3545764923095703,0.36367912292480464,0.37230224609374996,0.6666666666666666
0.22500076293945315,0.2524803161621094,0.2664947509765625,0.2803890228271484,0.7777777777777777
0.11500015258789065,0.14054107666015625,0.15619430541992188,0.17352752685546874,0.8888888888888888
7.62939453125e-07,7.62939453125e-07,-1.52587890625e-06,-1.52587890625e-06,1.0
