A=0,A=5,A=10,A=20,Y
1.0,1.0,1.0,1.0,0.0
0.9949999999999999,0.9929167254910473,0.990833477344802,0.9866670908056703,0.005
0.9899999999999998,0.9859560829719038,0.9820666474770344,0.9748949755200723,0.01
0.9849999999999997,0.9791102512544583,0.973644564567838,0.9641987682415623,0.015
0.9799999999999995,0.9723721745273898,0.9655237575228385,0.9543042296236325,0.02
0.9749999999999994,0.9657354608587084,0.957669117291255,0.9450376042102934,0.025
0.9699999999999993,0.959194297388635,0.9500517952964368,0.9362802937039377,0.03
0.9649999999999992,0.9527433789719937,0.9426477375366836,0.9279469456569098,0.035
0.9599999999999991,0.9463778477484569,0.9354366335833384,0.919973643178803,0.04
0.954999999999999,0.940093241659914,0.9284011451139551,0.9123110142513123,0.045
0.9499999999999988,0.9338854503454235,0.9215263279840691,0.904919960377824,0.05
0.9449999999999987,0.9277506771598711,0.9147991915059281,0.8977688788619866,0.055
0.9399999999999986,0.9216854063069955,0.9082083570380551,0.8908317846275431,0.06
0.9349999999999985,0.9156863742685114,0.9017437897875636,0.8840869985202028,0.065
0.9299999999999984,0.9097505448615446,0.8953965854751809,0.8775162058755162,0.07
0.9249999999999983,0.9038750873759929,0.8891587987193968,0.8711037648551868,0.075
0.9199999999999982,0.8980573573388392,0.8830233035673402,0.8648361878944113,0.08
0.914999999999998,0.8922948795291844,0.8769836790951878,0.8587017459867355,0.085
0.9099999999999979,0.8865853329298746,0.8710341147737307,0.8526901619508013,0.09
0.9049999999999978,0.8809265373521641,0.8651693315735877,0.8467923693421986,0.095
0.8999999999999977,0.8753164415112477,0.8593845157200158,0.8410003205885697,0.1
0.8949999999999976,0.8697531123645592,0.8536752627002988,0.8353068325769295,0.105
0.8899999999999975,0.8642347255529059,0.8480375296461916,0.8297054611148112,0.11
0.8849999999999973,0.8587595568079183,0.842467594607557,0.8241903979191787,0.115
0.8799999999999972,0.853325974208837,0.8369620215346399,0.8187563853741546,0.12
0.8749999999999971,0.847932431188039,0.8315176300192161,0.8133986454441988,0.125
0.869999999999997,0.8425774601984918,0.826131469026278,0.8081128199677975,0.13
0.8649999999999969,0.8372596669679812,0.8208007939904658,0.802894920178189,0.135
0.8599999999999968,0.8319777252748332,0.815523046764303,0.7977412837637171,0.14
0.8549999999999967,0.8267303721882701,0.8102958379952871,0.7926485381337223,0.145
0.8499999999999965,0.8215164037237194,0.8051169315811179,0.7876135688264279,0.15
0.8449999999999964,0.8163346708695542,0.7999842309107028,0.7826334922043771,0.155
0.8399999999999963,0.8111840759470356,0.7948957666460036,0.7777056317459942,0.16
0.8349999999999962,0.8060635692697872,0.7898496858385404,0.7728274973699674,0.165
0.8299999999999961,0.8009721460730833,0.7848442422062198,0.7679967673306188,0.17
0.824999999999996,0.7959088436866457,0.7798777874224462,0.763211272303356,0.17500000000000002
0.8199999999999958,0.7908727389276242,0.7749487632912978,0.758468981344284,0.18
0.8149999999999957,0.785862945693026,0.7700556947007398,0.7537679894605678,0.185
0.8099999999999956,0.7808786127331234,0.7651971832610717,0.7491065065708133,0.19
0.8049999999999955,0.7759189215893564,0.7603719015486122,0.744482847669631,0.195
0.7999999999999954,0.7709830846819842,0.755578587885428,0.7398954240392154,0.2
0.7949999999999953,0.7660703435342784,0.7508160415950663,0.73534273537446,0.20500000000000002
0.7899999999999952,0.7611799671213955,0.7460831186820392,0.7308233627077824,0.21
0.784999999999995,0.7563112503332661,0.7413787278894423,0.7263359620362194,0.215
0.7799999999999949,0.7514635125418928,0.736701827094781,0.7218792585670799,0.22
0.7749999999999948,0.7466360962643864,0.7320514200089583,0.7174520415099732,0.225
0.7699999999999947,0.7418283659139053,0.7274265531475799,0.7130531593527781,0.23
0.7649999999999946,0.737039706631405,0.7228263130473723,0.7086815155673655,0.23500000000000001
0.7599999999999945,0.7322695231917649,0.7182498237036501,0.7043360646979061,0.24
0.7549999999999943,0.7275172389784541,0.7136962442075065,0.7000158087905871,0.245
0.7499999999999942,0.7227822950214249,0.7091647665637829,0.695719794128682,0.25
