X,T,Ta,T_err
0.0,0.0,0.0,0.0
0.1,0.08999999999999998,0.09,1.3877787807814457e-17
0.2,0.15999999999999995,0.16,5.551115123125783e-17
0.30000000000000004,0.2099999999999999,0.21000000000000002,1.1102230246251565e-16
0.4,0.2399999999999999,0.24,8.326672684688674e-17
0.5,0.24999999999999986,0.25,1.3877787807814457e-16
0.6000000000000001,0.23999999999999985,0.24,1.3877787807814457e-16
0.7000000000000001,0.20999999999999988,0.20999999999999996,8.326672684688674e-17
0.8,0.1599999999999999,0.15999999999999992,2.7755575615628914e-17
0.9,0.08999999999999997,0.08999999999999997,0.0
1.0,0.0,0.0,0.0
