X,T,T_a
0.00000,300.00000,300.00000
0.01000,306.93636,306.95000
0.02000,313.80230,313.80000
0.03000,320.55820,320.55000
0.04000,327.20104,327.20000
0.05000,333.74479,333.75000
0.06000,340.19702,340.20000
0.07000,346.55255,346.55000
0.08000,352.80356,352.80000
0.09000,358.94974,358.95000
0.10000,364.99694,365.00000
0.11000,370.94859,370.95000
0.12000,376.80183,376.80000
0.13000,382.55221,382.55000
0.14000,388.19963,388.20000
0.15000,393.74784,393.75000
0.16000,399.19911,399.20000
0.17000,404.55142,404.55000
0.18000,409.80161,409.80000
0.19000,414.94963,414.95000
0.20000,419.99831,420.00000
0.21000,424.94935,424.95000
0.22000,429.80117,429.80000
0.23000,434.55129,434.55000
0.24000,439.19965,439.20000
0.25000,443.74858,443.75000
0.26000,448.19948,448.20000
0.27000,452.55102,452.55000
0.28000,456.80109,456.80000
0.29000,460.94967,460.95000
0.30000,464.99876,465.00000
0.31000,468.94956,468.95000
0.32000,472.80092,472.80000
0.33000,476.55096,476.55000
0.34000,480.19968,480.20000
0.35000,483.74887,483.75000
0.36000,487.19961,487.20000
0.37000,490.55085,490.55000
0.38000,493.80088,493.80000
0.39000,496.94969,496.95000
0.40000,499.99894,500.00000
0.41000,502.94965,502.95000
0.42000,505.80082,505.80000
0.43000,508.55083,508.55000
0.44000,511.19969,511.20000
0.45000,513.74897,513.75000
0.46000,516.19967,516.20000
0.47000,518.55080,518.55000
0.48000,520.80081,520.80000
0.49000,522.94968,522.95000
0.50000,524.99899,525.00000
0.51000,526.94968,526.95000
0.52000,528.80081,528.80000
0.53000,530.55080,530.55000
0.54000,532.19967,532.20000
0.55000,533.74897,533.75000
0.56000,535.19969,535.20000
0.57000,536.55083,536.55000
0.58000,537.80082,537.80000
0.59000,538.94964,538.95000
0.60000,539.99893,540.00000
0.61000,540.94969,540.95000
0.62000,541.80088,541.80000
0.63000,542.55085,542.55000
0.64000,543.19961,543.20000
0.65000,543.74886,543.75000
0.66000,544.19968,544.20000
0.67000,544.55096,544.55000
0.68000,544.80091,544.80000
0.69000,544.94956,544.95000
0.70000,544.99875,545.00000
0.71000,544.94967,544.95000
0.72000,544.80108,544.80000
0.73000,544.55101,544.55000
0.74000,544.19947,544.20000
0.75000,543.74858,543.75000
0.76000,543.19965,543.20000
0.77000,542.55128,542.55000
0.78000,541.80117,541.80000
0.79000,540.94934,540.95000
0.80000,539.99830,540.00000
0.81000,538.94962,538.95000
0.82000,537.80160,537.80000
0.83000,536.55141,536.55000
0.84000,535.19910,535.20000
0.85000,533.74783,533.75000
0.86000,532.19962,532.20000
0.87000,530.55220,530.55000
0.88000,528.80182,528.80000
0.89000,526.94858,526.95000
0.90000,524.99693,525.00000
0.91000,522.94973,522.95000
0.92000,520.80355,520.80000
0.93000,518.55254,518.55000
0.94000,516.19701,516.20000
0.95000,513.74478,513.75000
0.96000,511.20103,511.20000
0.97000,508.55818,508.55000
0.98000,505.80229,505.80000
0.99000,502.93635,502.95000
1.00000,499.99999,500.00000
