X,T,T_a
0.00000,300.00000,300.00000
0.01000,306.05218,306.95000
0.02000,312.10036,313.80000
0.03000,318.14055,320.55000
0.04000,324.16876,327.20000
0.05000,330.18101,333.75000
0.06000,336.17334,340.20000
0.07000,342.14182,346.55000
0.08000,348.08252,352.80000
0.09000,353.99156,358.95000
0.10000,359.86509,365.00000
0.11000,365.69927,370.95000
0.12000,371.49032,376.80000
0.13000,377.23451,382.55000
0.14000,382.92814,388.20000
0.15000,388.56756,393.75000
0.16000,394.14918,399.20000
0.17000,399.66946,404.55000
0.18000,405.12494,409.80000
0.19000,410.51220,414.95000
0.20000,415.82790,420.00000
0.21000,421.06877,424.95000
0.22000,426.23160,429.80000
0.23000,431.31328,434.55000
0.24000,436.31077,439.20000
0.25000,441.22111,443.75000
0.26000,446.04142,448.20000
0.27000,450.76893,452.55000
0.28000,455.40093,456.80000
0.29000,459.93484,460.95000
0.30000,464.36815,465.00000
0.31000,468.69846,468.95000
0.32000,472.92348,472.80000
0.33000,477.04100,476.55000
0.34000,481.04893,480.20000
0.35000,484.94530,483.75000
0.36000,488.72824,487.20000
0.37000,492.39597,490.55000
0.38000,495.94686,493.80000
0.39000,499.37939,496.95000
0.40000,502.69212,500.00000
0.41000,505.88377,502.95000
0.42000,508.95316,505.80000
0.43000,511.89924,508.55000
0.44000,514.72107,511.20000
0.45000,517.41785,513.75000
0.46000,519.98888,516.20000
0.47000,522.43359,518.55000
0.48000,524.75156,520.80000
0.49000,526.94247,522.95000
0.50000,529.00613,525.00000
0.51000,530.94247,526.95000
0.52000,532.75156,528.80000
0.53000,534.43359,530.55000
0.54000,535.98887,532.20000
0.55000,537.41785,533.75000
0.56000,538.72107,535.20000
0.57000,539.89924,536.55000
0.58000,540.95316,537.80000
0.59000,541.88377,538.95000
0.60000,542.69212,540.00000
0.61000,543.37938,540.95000
0.62000,543.94686,541.80000
0.63000,544.39597,542.55000
0.64000,544.72823,543.20000
0.65000,544.94530,543.75000
0.66000,545.04893,544.20000
0.67000,545.04099,544.55000
0.68000,544.92347,544.80000
0.69000,544.69846,544.95000
0.70000,544.36814,545.00000
0.71000,543.93483,544.95000
0.72000,543.40092,544.80000
0.73000,542.76892,544.55000
0.74000,542.04141,544.20000
0.75000,541.22110,543.75000
0.76000,540.31076,543.20000
0.77000,539.31328,542.55000
0.78000,538.23159,541.80000
0.79000,537.06876,540.95000
0.80000,535.82789,540.00000
0.81000,534.51219,538.95000
0.82000,533.12493,537.80000
0.83000,531.66945,536.55000
0.84000,530.14917,535.20000
0.85000,528.56755,533.75000
0.86000,526.92813,532.20000
0.87000,525.23450,530.55000
0.88000,523.49031,528.80000
0.89000,521.69926,526.95000
0.90000,519.86508,525.00000
0.91000,517.99155,522.95000
0.92000,516.08251,520.80000
0.93000,514.14180,518.55000
0.94000,512.17333,516.20000
0.95000,510.18099,513.75000
0.96000,508.16874,511.20000
0.97000,506.14054,508.55000
0.98000,504.10035,505.80000
0.99000,502.05217,502.95000
1.00000,499.99999,500.00000
