 X,Y,Z,T,T_a
0.0001,0.0011,0.0,368.286,368.28384202267614
0.0001,0.0012,0.0,368.66,368.65775219738055
0.0001,0.0013,0.0,368.975,368.97304291453236
0.0001,0.0014,0.0,369.244,369.2421584056934
0.0001,0.0015,0.0,369.476,369.4742511765333
0.0001,0.0016,0.0,369.678,369.67620092271295
0.0001,0.0017,0.0,369.855,369.85327742921163
0.0001,0.0018,0.0,370.012,370.0095844442935
0.0001,0.0019,0.0,370.15,370.14836447047315
0.0001,0.002,0.0,370.274,370.27221274818527
0.0001,0.0021,0.0,370.385,370.3832304763986
0.0001,0.0022,0.0,370.485,370.4831364742192
0.0001,0.0023,0.0,370.575,370.57334985478343
0.0001,0.0024,0.0,370.657,370.65505211901177
0.0001,0.0025,0.0,370.731,370.72923440198423
0.0001,0.0026,0.0,370.799,370.79673385011745
0.0001,0.0027,0.0,370.86,370.8582619343104
0.0001,0.0028,0.0,370.917,370.9144267062978
0.0001,0.0029,0.0,370.968,370.9657504539529
0.0001,0.003,0.0,371.015,371.01268382449945
0.0001,0.0031,0.0,371.058,371.0556172096112
0.0001,0.0032,0.0,371.097,371.0948899884395
0.0001,0.0033,0.0,371.133,371.1307980804281
0.0001,0.0034,0.0,371.166,371.16360015362784
0.0001,0.0035,0.0,371.196,371.19352275524966
0.0001,0.0036,0.0,371.223,371.2207645718998
0.0001,0.0037,0.0,371.248,371.24549998198574
0.0001,0.0038,0.0,371.27,371.2678820284332
0.0001,0.0039,0.0,371.29,371.2880449133653
0.0001,0.004,0.0,371.308,371.306106095827
0.0001,0.0041,0.0,371.324,371.3221680575227
0.0001,0.0042,0.0,371.338,371.33631978882397
0.0001,0.0043,0.0,371.351,371.34863803718656
0.0001,0.0044,0.0,371.361,371.35918835200556
0.0001,0.0045,0.0,371.37,371.368025953365
0.0001,0.0046,0.0,371.377,371.3751964467721
0.0001,0.0047,0.0,371.383,371.3807364015148
0.0001,0.0048,0.0,371.387,371.38467380655754
0.0001,0.0049,0.0,371.389,371.3870284147016
0.0001,0.005,0.0,371.39,371.3878119829705
0.0001,0.0051,0.0,371.389,371.3870284147016
0.0001,0.0052,0.0,371.387,371.38467380655743
0.0001,0.0053,0.0,371.383,371.38073640151475
0.0001,0.0054,0.0,371.377,371.375196446772
0.0001,0.0055,0.0,371.37,371.36802595336496
0.0001,0.0056,0.0,371.361,371.35918835200556
0.0001,0.0057,0.0,371.351,371.3486380371866
0.0001,0.0058,0.0,371.338,371.33631978882397
0.0001,0.0059,0.0,371.324,371.32216805752273
0.0001,0.006,0.0,371.308,371.306106095827
0.0001,0.0061,0.0,371.29,371.28804491336535
0.0001,0.0062,0.0,371.27,371.26788202843323
0.0001,0.0063,0.0,371.248,371.24549998198574
0.0001,0.0064,0.0,371.223,371.22076457189985
0.0001,0.0065,0.0,371.196,371.1935227552498
0.0001,0.0066,0.0,371.166,371.1636001536278
