A=0,A=5,A=10,A=20,Y
1.0,0.9999923705996474,1.0000305175315585,1.000061035063117,0.0
1.0,1.8933188455281196,3.115455935706268,5.770233661256497,0.1111111111111111
1.0,2.4295767558724033,4.138979654174181,7.675906394229969,0.2222222222222222
1.0,2.7933226030087104,4.792232044402045,8.857993639627239,0.3333333333333333
1.0,3.049934289208613,5.239261349078152,9.656667775927055,0.4444444444444444
1.0,3.2384803294204176,5.56156790535606,10.228225039312383,0.5555555555555556
1.0,3.3618238062539603,5.769718665338587,10.595538163534364,0.6666666666666666
1.0,3.441474675106292,5.902922592518735,10.829790001931542,0.7777777777777777
1.0,3.485563542568343,5.976145584886399,10.958235383755527,0.8888888888888888
1.0,3.4999999999996363,5.999999999999273,10.999999999998545,1.0
