eta,f,g,h
0.0,0.0,0.0,0.9751438722622243
0.05,0.0012002388730630404,0.04800959750655651,0.9452046820780821
0.1,0.004763487332412461,0.09452046820780821,0.9152654918939398
0.15000000000000002,0.01061489742810609,0.1395361466959505,0.8854193230314439
0.2,0.018679853773185533,0.1830624005109526,0.855710132126661
0.25,0.02888408343487773,0.2251071599086166,0.8261804728407603
0.30000000000000004,0.04115376231832256,0.26568044779502864,0.796871493496212
0.35000000000000003,0.055415618036917566,0.3047943092582378,0.7678229239795609
0.4,0.07159702923653778,0.3424627401929847,0.739073053203681
0.45,0.0896261213172875,0.3787016145786059,0.7106586984128777
0.5,0.1094318584760485,0.4135286100342725,0.6826151676113174
0.55,0.1309441319758978,0.44696313133973764,0.6549762163958156
0.6000000000000001,0.15409384453447947,0.47902623167385405,0.6277740004751198
0.65,0.17881299071263157,0.5097405313872496,0.6010390251567166
0.7000000000000001,0.20503473317698853,0.5391301341895257,0.5748000930765429
0.75,0.23269347470588714,0.5672205406949039,0.5490842514346306
0.8,0.2617249258066692,0.5940385593329888,0.5239167399787992
0.8500000000000001,0.2920661678143448,0.6196122146927838,0.49932094094767066
0.9,0.32365571134647847,0.6439706534277558,0.4753183321421228
0.9500000000000001,0.3564335499969817,0.6671440479069961,0.4519284442403704
1.0,0.3903412091621052,0.6891634978517929,0.4291688234055302
1.05,0.425321789905155,0.7100609302475491,0.4070550001558215
1.1,0.4613200077821134,0.729868997867375,0.3856004653769052
1.1500000000000001,0.4982822265682007,0.7486209767852396,0.36481665425382337
1.2000000000000002,0.5361564868452134,0.7663506632927574,0.3447129387879344
1.25,0.5748925294309359,0.7830922706640331,0.325296629443077
1.3,0.6144418136547458,0.7988803262370651,0.3065729863369149
1.35,0.6547575305073963,0.8137495692977246,0.2885452402598998
1.4000000000000001,0.6957946107175255,0.827734850263055,0.2712146236672208
1.4500000000000002,0.7375097278323779,0.8408710316644467,0.2545804116510775
1.5,0.7798612964051705,0.8531928914281628,0.238639972763669
1.55,0.8228094654161626,0.8647350289408136,0.22338882942759208
1.6,0.8663161070784585,0.875531774370922,0.20882072754221936
1.6500000000000001,0.9103448012025588,0.8856171016950355,0.19492771477411464
1.7000000000000002,0.9548608153153865,0.8950245458483335,0.1817002269086021
1.75,0.9998310807496675,0.9037871243858957,0.16912718153975992
1.8,1.0452241649378882,0.9119372640023095,0.1571960782891879
1.85,1.0910102401613748,0.9195067322148145,0.14589310467077676
1.9000000000000001,1.1371610490191566,0.9265265744693871,0.13520324666042027
1.9500000000000002,1.183649866893031,0.9330270568808565,0.12511040298688214
2.0,1.2304514616945574,0.9390376147680753,0.11559750213276043
2.0500000000000003,1.277542051186476,0.9445868070941326,0.10664662102313538
2.1,1.3248992581752692,0.9497022768703889,0.09823910438333638
2.15,1.3725020638732595,0.9544107175324662,0.09035568376573266
2.2,1.4203307597277985,0.9587378452469622,0.08297659527786494
2.25,1.4683668980118718,0.9627083770602527,0.07608169508930396
2.3000000000000003,1.5165932414648735,0.9663460147558925,0.06965057185106094
2.35,1.5649937122646014,0.9696734342453588,0.06366265522770087
2.4000000000000004,1.6135533406017928,0.9727122802786626,0.05809731981712751
2.45,1.6622582131169998,0.9754831662270715,0.05293398381440939
2.5,1.7110954214464578,0.9780056786601036,0.04815220186243141
2.5500000000000003,1.760053011109069,0.9802983864133147,0.04373175162199927
2.6,1.809119930950925,0.9823788538223035,0.03965271368550405
2.6500000000000004,1.8582859833471461,0.9842636577818651,0.03589554454975774
2.7,1.90754177534347,0.9859684082772793,0.03244114245386065
2.75,1.9568786709021788,0.9875077720272512,0.02927090597546811
2.8000000000000003,2.0062887443988546,0.9888954988748261,0.026366785362298417
2.85,2.05576473549829,0.990144450563481,0.023711326654314302
2.9000000000000004,2.1053000055198594,0.9912666315402575,0.021287708724628818
2.95,2.1548884953849483,0.9922732214359439,0.01907977343324152
3.0,2.2045246852218283,0.9931746088835817,0.017072049146560353
3.0500000000000003,2.2542035556867757,0.9939804263505999,0.01524976792704913
3.1,2.3039205510444045,0.9946995856762866,0.01359887674094673
3.1500000000000004,2.353671544035239,0.9953403140246946,0.012106043067756644
3.2,2.4034528025445443,0.9959101899830622,0.010758655323303001
3.25,2.4532609580734785,0.9964161795570249,0.009544818528715027
3.3000000000000003,2.503092976001736,0.9968646718359337,0.00845334567110112
3.35,2.552946127620086,0.997261514124135,0.007473745208135263
3.4000000000000004,2.602817963901572,0.9976120463567473,0.00659620516929027
3.45,2.652706290971619,0.997921134641064,0.00581157430095014
3.5,2.7026091472299245,0.9981932037868423,0.005111340692092181
3.5500000000000003,2.752524782070685,0.9984322687102732,0.0044876083023592805
