X,Y,Z,u,v,p,rho,T,Mach
    0.0000043000,    0.0000021500,    0.0000000000,   31.1824353528,         3.74042,    146467.59316,         1.77205,       287.99478,         0.09232
    0.0000043000,    0.0000043000,    0.0000000000,   35.5725973592,         3.97456,    146523.29966,         1.77267,       288.00249,         0.10522
    0.0000043000,    0.0000064500,    0.0000000000,   35.7871855562,         3.05351,    146566.84063,         1.77276,       288.07380,         0.10557
    0.0000043000,    0.0000086000,    0.0000000000,   35.1364054571,         2.14822,    146548.84607,         1.77221,       288.12852,         0.10346
    0.0000043000,    0.0000107500,    0.0000000000,   34.6875463993,         1.48123,    146513.01895,         1.77162,       288.15415,         0.10204
    0.0000043000,    0.0000129000,    0.0000000000,   34.4445538824,         1.02514,    146476.98901,         1.77112,       288.16333,         0.10127
    0.0000043000,    0.0000150500,    0.0000000000,   34.3280131824,         0.69529,    146449.65856,         1.77077,       288.16626,         0.10090
    0.0000043000,    0.0000172000,    0.0000000000,   34.2705541697,         0.43472,    146431.44940,         1.77055,       288.16725,         0.10072
    0.0000043000,    0.0000193500,    0.0000000000,   34.2430049519,         0.21070,    146420.86120,         1.77042,       288.16752,         0.10064
    0.0000043000,    0.0000215000,    0.0000000000,   34.2343021916,         0.00276,    146416.88851,         1.77037,       288.16732,         0.10061
    0.0000043000,    0.0000236500,    0.0000000000,   34.2420864608,        -0.20425,    146418.97951,         1.77040,       288.16653,         0.10063
    0.0000043000,    0.0000258000,    0.0000000000,   34.2686103131,        -0.42546,    146427.01663,         1.77051,       288.16487,         0.10072
    0.0000043000,    0.0000279500,    0.0000000000,   34.3219570283,        -0.67779,    146441.52606,         1.77071,       288.16147,         0.10089
    0.0000043000,    0.0000301000,    0.0000000000,   34.4197579064,        -0.98662,    146462.52674,         1.77100,       288.15465,         0.10120
    0.0000043000,    0.0000322500,    0.0000000000,   34.6167708312,        -1.38860,    146491.90705,         1.77145,       288.13872,         0.10182
    0.0000043000,    0.0000344000,    0.0000000000,   35.0323169759,        -1.97041,    146525.81246,         1.77206,       288.10736,         0.10313
    0.0000043000,    0.0000365500,    0.0000000000,   35.7884418206,        -2.81420,    146573.57151,         1.77290,       288.06398,         0.10552
    0.0000043000,    0.0000387000,    0.0000000000,   35.7012289600,        -3.80987,    146624.34877,         1.77328,       288.10164,         0.10553
    0.0000043000,    0.0000408500,    0.0000000000,   31.1893761823,        -3.60441,    146774.43730,         1.77410,       288.26346,         0.09225
    0.0000043000,    0.0000430000,    0.0000000000,    0.0000000000,         0.00000,    146924.52583,         1.77656,       288.16000,         0.00000
    0.0000064500,    0.0000000000,    0.0000000000,    0.0000000000,         0.00000,    146373.05157,         1.76989,       288.16000,         0.00000
    0.0000064500,    0.0000021500,    0.0000000000,   29.0530317653,         3.63592,    146403.73750,         1.77103,       288.03450,         0.08607
    0.0000064500,    0.0000043000,    0.0000000000,   35.7282947185,         4.33115,    146434.42342,         1.77173,       287.98124,         0.10580
    0.0000064500,    0.0000064500,    0.0000000000,   36.6730793488,         3.72046,    146469.21237,         1.77187,       288.02733,         0.10836
    0.0000064500,    0.0000086000,    0.0000000000,   36.0020637547,         2.80882,    146481.85608,         1.77163,       288.09096,         0.10614
    0.0000064500,    0.0000107500,    0.0000000000,   35.3473874364,         2.02517,    146467.95505,         1.77122,       288.13012,         0.10406
    0.0000064500,    0.0000129000,    0.0000000000,   34.9249405770,         1.43241,    146446.11688,         1.77084,       288.14948,         0.10273
    0.0000064500,    0.0000150500,    0.0000000000,   34.6950398401,         0.98167,    146426.11221,         1.77054,       288.15806,         0.10200
