X,Y,Z,DT,T,gradTx,gradTy,gradTz
0.75,1.6,0.5,1,0.195252,0.224925,-2.60378,-1.12921e-17
0.85,1.7,0.5,1,0.0423972,-0.191752,-0.812138,8.97252e-19
0.95,1.8,0.5,1,-0.0055259,-0.141805,-0.0425519,3.75307e-21
0.05,1,0.5,1,36.438,-233.851,-551.685,0
0.15,1.1,0.5,1,6.45473,13.2787,-185.209,8.03215e-16
0.25,1.2,0.5,1,2.05201,43.7457,-71.4228,0
0.35,1.3,0.5,1,0.919293,22.9622,-30.9778,0
0.45,1.4,0.5,1,0.448873,10.8977,-14.4321,0
0.55,1.5,0.5,1,0.212406,5.01344,-6.81971,-2.95758e-17
0.65,1.6,0.5,1,0.0876178,2.08872,-3.02893,0
0.75,1.7,0.5,1,0.0243624,0.654889,-1.09807,-4.76213e-18
0.85,1.8,0.5,1,-0.00101872,0.0692927,-0.206892,-8.97252e-19
0.95,1.9,0.5,1,-0.00315756,-0.0225359,0.0434173,0
